"subject","stateabb","grade","year","icc","nschools","nstudents"
"mth","AK",3,2009,0.1697,150,8480
"mth","AK",3,2010,0.1894,150,8400
"mth","AK",3,2011,0.1442,160,8220
"mth","AK",3,2012,0.2104,160,8470
"mth","AK",3,2013,0.1749,150,8260
"mth","AK",3,2014,0.2259,150,8270
"mth","AK",3,2015,0.1957,150,7840
"mth","AK",4,2009,0.1841,150,8340
"mth","AK",4,2010,0.1435,150,8500
"mth","AK",4,2011,0.166,150,8350
"mth","AK",4,2012,0.1422,150,8200
"mth","AK",4,2013,0.1855,150,7870
"mth","AK",4,2014,0.2042,150,8070
"mth","AK",4,2015,0.2544,140,7330
"mth","AK",5,2009,0.1294,150,8000
"mth","AK",5,2010,0.1419,150,8360
"mth","AK",5,2011,0.1214,160,8470
"mth","AK",5,2012,0.1627,150,8340
"mth","AK",5,2013,0.153,150,7740
"mth","AK",5,2014,0.1826,150,7750
"mth","AK",5,2015,0.1864,140,7110
"mth","AK",6,2009,0.1566,130,7990
"mth","AK",6,2010,0.1656,120,7980
"mth","AK",6,2011,0.1608,120,8360
"mth","AK",6,2012,0.1612,120,8330
"mth","AK",6,2013,0.1884,110,7820
"mth","AK",6,2014,0.1713,120,7700
"mth","AK",6,2015,0.2188,110,6930
"mth","AK",7,2009,0.1495,70,8240
"mth","AK",7,2010,0.1536,70,8220
"mth","AK",7,2011,0.1296,70,8090
"mth","AK",7,2012,0.1674,70,8440
"mth","AK",7,2013,0.1228,60,7850
"mth","AK",7,2014,0.2215,70,8100
"mth","AK",7,2015,0.1723,60,6860
"mth","AK",8,2009,0.1131,70,8200
"mth","AK",8,2010,0.1301,70,8240
"mth","AK",8,2011,0.1908,60,8050
"mth","AK",8,2012,0.1362,70,7900
"mth","AK",8,2013,0.1269,60,7920
"mth","AK",8,2014,0.1633,60,7790
"mth","AK",8,2015,0.1665,60,7140
"mth","AL",3,2009,0.1804,710,58540
"mth","AL",3,2010,0.1625,700,57600
"mth","AL",3,2011,0.1748,700,55770
"mth","AL",3,2012,0.2017,690,55110
"mth","AL",3,2013,0.2231,680,55020
"mth","AL",3,2014,0.1854,530,45010
"mth","AL",3,2015,0.195,680,55200
"mth","AL",3,2016,0.202,660,56570
"mth","AL",3,2017,0.1937,660,57150
"mth","AL",3,2018,0.1939,660,56550
"mth","AL",3,2019,0.1862,660,54680
"mth","AL",4,2009,0.1799,710,57970
"mth","AL",4,2010,0.1774,700,58530
"mth","AL",4,2011,0.1754,690,57540
"mth","AL",4,2012,0.2056,680,55590
"mth","AL",4,2013,0.2246,680,55040
"mth","AL",4,2014,0.1695,540,46070
"mth","AL",4,2015,0.1874,670,54490
"mth","AL",4,2016,0.2136,660,54540
"mth","AL",4,2017,0.2113,650,56630
"mth","AL",4,2018,0.2077,660,57710
"mth","AL",4,2019,0.1937,660,56800
"mth","AL",5,2009,0.2102,690,57180
"mth","AL",5,2010,0.2083,690,57610
"mth","AL",5,2011,0.2044,680,57850
"mth","AL",5,2012,0.2228,660,57340
"mth","AL",5,2013,0.2357,660,55500
"mth","AL",5,2014,0.2096,500,43870
"mth","AL",5,2015,0.1956,650,54340
"mth","AL",5,2016,0.2138,630,53460
"mth","AL",5,2017,0.2184,640,54730
"mth","AL",5,2018,0.2151,640,57120
"mth","AL",5,2019,0.208,640,57900
"mth","AL",6,2009,0.2262,520,56390
"mth","AL",6,2010,0.2165,520,56930
"mth","AL",6,2011,0.2208,510,57190
"mth","AL",6,2012,0.219,490,57970
"mth","AL",6,2013,0.2312,490,57280
"mth","AL",6,2014,0.2198,400,46810
"mth","AL",6,2015,0.1989,480,53750
"mth","AL",6,2016,0.2054,470,53360
"mth","AL",6,2017,0.1985,470,53260
"mth","AL",6,2018,0.2288,470,54730
"mth","AL",6,2019,0.2127,460,56820
"mth","AL",7,2009,0.2041,440,56520
"mth","AL",7,2010,0.231,440,56640
"mth","AL",7,2011,0.2333,440,57280
"mth","AL",7,2012,0.2316,430,57850
"mth","AL",7,2013,0.2284,430,58290
"mth","AL",7,2014,0.1913,340,48270
"mth","AL",7,2015,0.1757,420,54960
"mth","AL",7,2016,0.209,400,53310
"mth","AL",7,2017,0.2002,400,52360
"mth","AL",7,2018,0.2196,410,53650
"mth","AL",7,2019,0.2081,410,54500
"mth","AL",8,2009,0.2091,450,56450
"mth","AL",8,2010,0.2199,440,55520
"mth","AL",8,2011,0.2421,440,55960
"mth","AL",8,2012,0.2493,430,56620
"mth","AL",8,2013,0.2261,430,56570
"mth","AL",8,2014,0.2103,370,51220
"mth","AL",8,2015,0.2182,410,56000
"mth","AL",8,2016,0.2407,400,53410
"mth","AL",8,2017,0.2229,400,52270
"mth","AL",8,2018,0.2339,410,53490
"mth","AL",8,2019,0.226,400,53760
"mth","AR",3,2009,0.1976,470,35430
"mth","AR",3,2010,0.1872,470,36160
"mth","AR",3,2011,0.1623,470,36220
"mth","AR",3,2012,0.1822,470,35810
"mth","AR",3,2013,0.1877,460,35740
"mth","AR",3,2014,0.1906,330,25900
"mth","AR",3,2015,0.1612,440,34440
"mth","AR",3,2016,0.1581,450,37890
